Zong Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,aa01,aa02,aa03,aa04,aa05,aa06,aa07,aa08,aa09,aa10,aa11,aa12,aa13,aa14,aa15,aa16,aa17,aa18,aa19,aa20,fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1,-1,0.005936186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0.006431634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,0.007050197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,1,0.008162256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,0.008333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-1,1,1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,0.009045486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,0.009849314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,0.010354407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,0.010854583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,0.0108595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,0.011617139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,0.013577894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-1,1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,0.020009528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,0.023970671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,-1,-1,-1,-1,0.027780116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0.033587423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,0.03891709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,0.057580604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1,1,1,-1,1,-1,1,-1,0.244212476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,0.346772199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.513266713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,-1,1,1,-1,1,-1,0.597272498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,0.613333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,0.663000564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0.723439733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,-1,1,0.744999608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,0.889481528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,1,-1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,0.955461751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.975103377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,0.033495797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,0.637410934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,0.091679533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,0.006018776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,0.344344091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,0.741571693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,0.982107226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,-1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,0.104063488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,-1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,0.037879568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,0.296448791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
